amine_*C1_NMR_shift,amine_*C1_electrostatic_charge,amine_*C2_NMR_shift,amine_*C2_electrostatic_charge,amine_*C3_NMR_shift,amine_*C3_electrostatic_charge,amine_*C4_NMR_shift,amine_*C4_electrostatic_charge,amine_*N1_electrostatic_charge,amine_E_HOMO,amine_E_LUMO,amine_V1_frequency,amine_V1_intensity,amine_V2_frequency,amine_V2_intensity,amine_V3_frequency,amine_V3_intensity,amine_V4_frequency,amine_V4_intensity,amine_V5_frequency,amine_V5_intensity,amine_V6_frequency,amine_V6_intensity,amine_dipole_moment,amine_electronegativity,amine_hardness,amine_molecular_volume,amine_molecular_weight,amine_ovality,amine_surface_area,car_acid_*C1_NMR_shift,car_acid_*C1_electrostatic_charge,car_acid_*C2_NMR_shift,car_acid_*C2_electrostatic_charge,car_acid_*O1_electrostatic_charge,car_acid_*O2_electrostatic_charge,car_acid_E_HOMO,car_acid_E_LUMO,car_acid_V1_frequency,car_acid_V1_intensity,car_acid_V2_frequency,car_acid_V2_intensity,car_acid_V3_frequency,car_acid_V3_intensity,car_acid_dipole_moment,car_acid_electronegativity,car_acid_hardness,car_acid_molecular_volume,car_acid_molecular_weight,car_acid_ovality,car_acid_surface_area,cata_*O1_electrostatic_charge,cata_E_HOMO,cata_E_LUMO,cata_dipole_moment,cata_electronegativity,cata_hardness,cata_molecular_volume,cata_molecular_weight,cata_ovality,cata_surface_area,solvent_*C1_NMR_shift,solvent_*C1_electrostatic_charge,solvent_*C2_NMR_shift,solvent_*C2_electrostatic_charge,solvent_E_HOMO,solvent_E_LUMO,solvent_V1_frequency,solvent_V1_intensity,solvent_dipole_moment,solvent_electronegativity,solvent_hardness,solvent_molecular_volume,solvent_molecular_weight,solvent_ovality,solvent_surface_area
138.04,0.446,106.64,-0.32,122.21,-0.07,110.85,-0.185,-0.839,-0.1982,0.0092,508.906,48.246,704.58,9.056,1551.85,54.591,1646.344,4.582,1667.736,38.265,3546.02,9.573,1.713148,0.09,0.1,109.69,93.129,1.161,128.65,154.6,0.782,20.97,-0.796,-0.467,-0.588,-0.2725,0.0093,594.617,6.743,1420.416,48.971,3182.266,4.236,4.298549,0.13,0.14,61.54,60.052,1.115,84.05,-0.123,-0.3583,-0.1863,7.699264,0.27,0.09,244.8,234.283,1.435,271.5,41.13,-0.516,41.13,-0.516,-0.2224,0.0427,3155.343,0.04,3.927258,0.09,0.13,79.02,78.133,1.169,104.12
138.04,0.446,106.64,-0.32,122.21,-0.07,110.85,-0.185,-0.839,-0.1982,0.0092,508.906,48.246,704.58,9.056,1551.85,54.591,1646.344,4.582,1667.736,38.265,3546.02,9.573,1.713148,0.09,0.1,109.69,93.129,1.161,128.65,154.6,0.782,20.97,-0.796,-0.467,-0.588,-0.2725,0.0093,594.617,6.743,1420.416,48.971,3182.266,4.236,4.298549,0.13,0.14,61.54,60.052,1.115,84.05,-0.392,-0.3392,-0.1496,6.217044,0.24,0.09,383.14,375.437,1.605,409.47,41.13,-0.516,41.13,-0.516,-0.2224,0.0427,3155.343,0.04,3.927258,0.09,0.13,79.02,78.133,1.169,104.12
138.04,0.446,106.64,-0.32,122.21,-0.07,110.85,-0.185,-0.839,-0.1982,0.0092,508.906,48.246,704.58,9.056,1551.85,54.591,1646.344,4.582,1667.736,38.265,3546.02,9.573,1.713148,0.09,0.1,109.69,93.129,1.161,128.65,157.95,0.629,30.48,-0.24,-0.458,-0.552,-0.2674,0.0095,573.94,6.5,1365.537,70.22,3107.105,20.527,4.411032,0.13,0.14,79.93,74.079,1.152,103.38,-0.123,-0.3583,-0.1863,7.699264,0.27,0.09,244.8,234.283,1.435,271.5,155.89,0.604,31.64,-0.581,-0.2338,0.0339,1031.865,65.108,3.65952,0.1,0.13,104.27,87.122,1.201,128.64
138.04,0.446,106.64,-0.32,122.21,-0.07,110.85,-0.185,-0.839,-0.1982,0.0092,508.906,48.246,704.58,9.056,1551.85,54.591,1646.344,4.582,1667.736,38.265,3546.02,9.573,1.713148,0.09,0.1,109.69,93.129,1.161,128.65,157.95,0.629,30.48,-0.24,-0.458,-0.552,-0.2674,0.0095,573.94,6.5,1365.537,70.22,3107.105,20.527,4.411032,0.13,0.14,79.93,74.079,1.152,103.38,-0.392,-0.3392,-0.1496,6.217044,0.24,0.09,383.14,375.437,1.605,409.47,155.89,0.604,31.64,-0.581,-0.2338,0.0339,1031.865,65.108,3.65952,0.1,0.13,104.27,87.122,1.201,128.64
138.04,0.446,106.64,-0.32,122.21,-0.07,110.85,-0.185,-0.839,-0.1982,0.0092,508.906,48.246,704.58,9.056,1551.85,54.591,1646.344,4.582,1667.736,38.265,3546.02,9.573,1.713148,0.09,0.1,109.69,93.129,1.161,128.65,157.95,0.629,30.48,-0.24,-0.458,-0.552,-0.2674,0.0095,573.94,6.5,1365.537,70.22,3107.105,20.527,4.411032,0.13,0.14,79.93,74.079,1.152,103.38,-0.527,-0.2634,-0.052,4.889525,0.16,0.11,229.07,236.638,1.365,247.17,155.89,0.604,31.64,-0.581,-0.2338,0.0339,1031.865,65.108,3.65952,0.1,0.13,104.27,87.122,1.201,128.64
138.04,0.446,106.64,-0.32,122.21,-0.07,110.85,-0.185,-0.839,-0.1982,0.0092,508.906,48.246,704.58,9.056,1551.85,54.591,1646.344,4.582,1667.736,38.265,3546.02,9.573,1.713148,0.09,0.1,109.69,93.129,1.161,128.65,157.95,0.629,30.48,-0.24,-0.458,-0.552,-0.2674,0.0095,573.94,6.5,1365.537,70.22,3107.105,20.527,4.411032,0.13,0.14,79.93,74.079,1.152,103.38,-0.513,-0.2864,-0.024,7.069425,0.16,0.13,197.03,254.566,1.372,224.69,155.89,0.604,31.64,-0.581,-0.2338,0.0339,1031.865,65.108,3.65952,0.1,0.13,104.27,87.122,1.201,128.64
138.04,0.446,106.64,-0.32,122.21,-0.07,110.85,-0.185,-0.839,-0.1982,0.0092,508.906,48.246,704.58,9.056,1551.85,54.591,1646.344,4.582,1667.736,38.265,3546.02,9.573,1.713148,0.09,0.1,109.69,93.129,1.161,128.65,157.95,0.629,30.48,-0.24,-0.458,-0.552,-0.2674,0.0095,573.94,6.5,1365.537,70.22,3107.105,20.527,4.411032,0.13,0.14,79.93,74.079,1.152,103.38,-0.123,-0.3583,-0.1863,7.699264,0.27,0.09,244.8,234.283,1.435,271.5,148.65,0.169,34.53,-0.647,-0.2422,0.0322,3132.072,18.455,3.830057,0.1,0.14,86.45,73.095,1.172,110.81
138.04,0.446,106.64,-0.32,122.21,-0.07,110.85,-0.185,-0.839,-0.1982,0.0092,508.906,48.246,704.58,9.056,1551.85,54.591,1646.344,4.582,1667.736,38.265,3546.02,9.573,1.713148,0.09,0.1,109.69,93.129,1.161,128.65,157.95,0.629,30.48,-0.24,-0.458,-0.552,-0.2674,0.0095,573.94,6.5,1365.537,70.22,3107.105,20.527,4.411032,0.13,0.14,79.93,74.079,1.152,103.38,-0.392,-0.3392,-0.1496,6.217044,0.24,0.09,383.14,375.437,1.605,409.47,148.65,0.169,34.53,-0.647,-0.2422,0.0322,3132.072,18.455,3.830057,0.1,0.14,86.45,73.095,1.172,110.81
138.04,0.446,106.64,-0.32,122.21,-0.07,110.85,-0.185,-0.839,-0.1982,0.0092,508.906,48.246,704.58,9.056,1551.85,54.591,1646.344,4.582,1667.736,38.265,3546.02,9.573,1.713148,0.09,0.1,109.69,93.129,1.161,128.65,157.95,0.629,30.48,-0.24,-0.458,-0.552,-0.2674,0.0095,573.94,6.5,1365.537,70.22,3107.105,20.527,4.411032,0.13,0.14,79.93,74.079,1.152,103.38,-0.527,-0.2634,-0.052,4.889525,0.16,0.11,229.07,236.638,1.365,247.17,148.65,0.169,34.53,-0.647,-0.2422,0.0322,3132.072,18.455,3.830057,0.1,0.14,86.45,73.095,1.172,110.81
138.04,0.446,106.64,-0.32,122.21,-0.07,110.85,-0.185,-0.839,-0.1982,0.0092,508.906,48.246,704.58,9.056,1551.85,54.591,1646.344,4.582,1667.736,38.265,3546.02,9.573,1.713148,0.09,0.1,109.69,93.129,1.161,128.65,157.95,0.629,30.48,-0.24,-0.458,-0.552,-0.2674,0.0095,573.94,6.5,1365.537,70.22,3107.105,20.527,4.411032,0.13,0.14,79.93,74.079,1.152,103.38,-0.513,-0.2864,-0.024,7.069425,0.16,0.13,197.03,254.566,1.372,224.69,148.65,0.169,34.53,-0.647,-0.2422,0.0322,3132.072,18.455,3.830057,0.1,0.14,86.45,73.095,1.172,110.81
138.04,0.446,106.64,-0.32,122.21,-0.07,110.85,-0.185,-0.839,-0.1982,0.0092,508.906,48.246,704.58,9.056,1551.85,54.591,1646.344,4.582,1667.736,38.265,3546.02,9.573,1.713148,0.09,0.1,109.69,93.129,1.161,128.65,157.95,0.629,30.48,-0.24,-0.458,-0.552,-0.2674,0.0095,573.94,6.5,1365.537,70.22,3107.105,20.527,4.411032,0.13,0.14,79.93,74.079,1.152,103.38,-0.123,-0.3583,-0.1863,7.699264,0.27,0.09,244.8,234.283,1.435,271.5,102.75,0.442,1.76,-0.692,-0.3264,0.0366,3139.321,1.978,3.813492,0.14,0.18,53.2,41.053,1.076,73.59
138.04,0.446,106.64,-0.32,122.21,-0.07,110.85,-0.185,-0.839,-0.1982,0.0092,508.906,48.246,704.58,9.056,1551.85,54.591,1646.344,4.582,1667.736,38.265,3546.02,9.573,1.713148,0.09,0.1,109.69,93.129,1.161,128.65,157.95,0.629,30.48,-0.24,-0.458,-0.552,-0.2674,0.0095,573.94,6.5,1365.537,70.22,3107.105,20.527,4.411032,0.13,0.14,79.93,74.079,1.152,103.38,-0.392,-0.3392,-0.1496,6.217044,0.24,0.09,383.14,375.437,1.605,409.47,102.75,0.442,1.76,-0.692,-0.3264,0.0366,3139.321,1.978,3.813492,0.14,0.18,53.2,41.053,1.076,73.59
138.04,0.446,106.64,-0.32,122.21,-0.07,110.85,-0.185,-0.839,-0.1982,0.0092,508.906,48.246,704.58,9.056,1551.85,54.591,1646.344,4.582,1667.736,38.265,3546.02,9.573,1.713148,0.09,0.1,109.69,93.129,1.161,128.65,157.95,0.629,30.48,-0.24,-0.458,-0.552,-0.2674,0.0095,573.94,6.5,1365.537,70.22,3107.105,20.527,4.411032,0.13,0.14,79.93,74.079,1.152,103.38,-0.123,-0.3583,-0.1863,7.699264,0.27,0.09,244.8,234.283,1.435,271.5,41.13,-0.516,41.13,-0.516,-0.2224,0.0427,3155.343,0.04,3.927258,0.09,0.13,79.02,78.133,1.169,104.12
138.04,0.446,106.64,-0.32,122.21,-0.07,110.85,-0.185,-0.839,-0.1982,0.0092,508.906,48.246,704.58,9.056,1551.85,54.591,1646.344,4.582,1667.736,38.265,3546.02,9.573,1.713148,0.09,0.1,109.69,93.129,1.161,128.65,157.95,0.629,30.48,-0.24,-0.458,-0.552,-0.2674,0.0095,573.94,6.5,1365.537,70.22,3107.105,20.527,4.411032,0.13,0.14,79.93,74.079,1.152,103.38,-0.392,-0.3392,-0.1496,6.217044,0.24,0.09,383.14,375.437,1.605,409.47,41.13,-0.516,41.13,-0.516,-0.2224,0.0427,3155.343,0.04,3.927258,0.09,0.13,79.02,78.133,1.169,104.12
138.04,0.446,106.64,-0.32,122.21,-0.07,110.85,-0.185,-0.839,-0.1982,0.0092,508.906,48.246,704.58,9.056,1551.85,54.591,1646.344,4.582,1667.736,38.265,3546.02,9.573,1.713148,0.09,0.1,109.69,93.129,1.161,128.65,151.67,0.704,120.27,-0.325,-0.458,-0.564,-0.2756,-0.0537,501.844,0.377,1452.605,76.85,3155.975,13.937,4.293443,0.16,0.11,75.93,72.063,1.143,99.09,-0.123,-0.3583,-0.1863,7.699264,0.27,0.09,244.8,234.283,1.435,271.5,155.89,0.604,31.64,-0.581,-0.2338,0.0339,1031.865,65.108,3.65952,0.1,0.13,104.27,87.122,1.201,128.64
138.04,0.446,106.64,-0.32,122.21,-0.07,110.85,-0.185,-0.839,-0.1982,0.0092,508.906,48.246,704.58,9.056,1551.85,54.591,1646.344,4.582,1667.736,38.265,3546.02,9.573,1.713148,0.09,0.1,109.69,93.129,1.161,128.65,151.67,0.704,120.27,-0.325,-0.458,-0.564,-0.2756,-0.0537,501.844,0.377,1452.605,76.85,3155.975,13.937,4.293443,0.16,0.11,75.93,72.063,1.143,99.09,-0.392,-0.3392,-0.1496,6.217044,0.24,0.09,383.14,375.437,1.605,409.47,155.89,0.604,31.64,-0.581,-0.2338,0.0339,1031.865,65.108,3.65952,0.1,0.13,104.27,87.122,1.201,128.64
138.04,0.446,106.64,-0.32,122.21,-0.07,110.85,-0.185,-0.839,-0.1982,0.0092,508.906,48.246,704.58,9.056,1551.85,54.591,1646.344,4.582,1667.736,38.265,3546.02,9.573,1.713148,0.09,0.1,109.69,93.129,1.161,128.65,151.67,0.704,120.27,-0.325,-0.458,-0.564,-0.2756,-0.0537,501.844,0.377,1452.605,76.85,3155.975,13.937,4.293443,0.16,0.11,75.93,72.063,1.143,99.09,-0.527,-0.2634,-0.052,4.889525,0.16,0.11,229.07,236.638,1.365,247.17,155.89,0.604,31.64,-0.581,-0.2338,0.0339,1031.865,65.108,3.65952,0.1,0.13,104.27,87.122,1.201,128.64
138.04,0.446,106.64,-0.32,122.21,-0.07,110.85,-0.185,-0.839,-0.1982,0.0092,508.906,48.246,704.58,9.056,1551.85,54.591,1646.344,4.582,1667.736,38.265,3546.02,9.573,1.713148,0.09,0.1,109.69,93.129,1.161,128.65,151.67,0.704,120.27,-0.325,-0.458,-0.564,-0.2756,-0.0537,501.844,0.377,1452.605,76.85,3155.975,13.937,4.293443,0.16,0.11,75.93,72.063,1.143,99.09,-0.513,-0.2864,-0.024,7.069425,0.16,0.13,197.03,254.566,1.372,224.69,155.89,0.604,31.64,-0.581,-0.2338,0.0339,1031.865,65.108,3.65952,0.1,0.13,104.27,87.122,1.201,128.64
138.04,0.446,106.64,-0.32,122.21,-0.07,110.85,-0.185,-0.839,-0.1982,0.0092,508.906,48.246,704.58,9.056,1551.85,54.591,1646.344,4.582,1667.736,38.265,3546.02,9.573,1.713148,0.09,0.1,109.69,93.129,1.161,128.65,151.67,0.704,120.27,-0.325,-0.458,-0.564,-0.2756,-0.0537,501.844,0.377,1452.605,76.85,3155.975,13.937,4.293443,0.16,0.11,75.93,72.063,1.143,99.09,-0.123,-0.3583,-0.1863,7.699264,0.27,0.09,244.8,234.283,1.435,271.5,148.65,0.169,34.53,-0.647,-0.2422,0.0322,3132.072,18.455,3.830057,0.1,0.14,86.45,73.095,1.172,110.81
138.04,0.446,106.64,-0.32,122.21,-0.07,110.85,-0.185,-0.839,-0.1982,0.0092,508.906,48.246,704.58,9.056,1551.85,54.591,1646.344,4.582,1667.736,38.265,3546.02,9.573,1.713148,0.09,0.1,109.69,93.129,1.161,128.65,151.67,0.704,120.27,-0.325,-0.458,-0.564,-0.2756,-0.0537,501.844,0.377,1452.605,76.85,3155.975,13.937,4.293443,0.16,0.11,75.93,72.063,1.143,99.09,-0.392,-0.3392,-0.1496,6.217044,0.24,0.09,383.14,375.437,1.605,409.47,148.65,0.169,34.53,-0.647,-0.2422,0.0322,3132.072,18.455,3.830057,0.1,0.14,86.45,73.095,1.172,110.81
138.04,0.446,106.64,-0.32,122.21,-0.07,110.85,-0.185,-0.839,-0.1982,0.0092,508.906,48.246,704.58,9.056,1551.85,54.591,1646.344,4.582,1667.736,38.265,3546.02,9.573,1.713148,0.09,0.1,109.69,93.129,1.161,128.65,151.67,0.704,120.27,-0.325,-0.458,-0.564,-0.2756,-0.0537,501.844,0.377,1452.605,76.85,3155.975,13.937,4.293443,0.16,0.11,75.93,72.063,1.143,99.09,-0.527,-0.2634,-0.052,4.889525,0.16,0.11,229.07,236.638,1.365,247.17,148.65,0.169,34.53,-0.647,-0.2422,0.0322,3132.072,18.455,3.830057,0.1,0.14,86.45,73.095,1.172,110.81
138.04,0.446,106.64,-0.32,122.21,-0.07,110.85,-0.185,-0.839,-0.1982,0.0092,508.906,48.246,704.58,9.056,1551.85,54.591,1646.344,4.582,1667.736,38.265,3546.02,9.573,1.713148,0.09,0.1,109.69,93.129,1.161,128.65,151.67,0.704,120.27,-0.325,-0.458,-0.564,-0.2756,-0.0537,501.844,0.377,1452.605,76.85,3155.975,13.937,4.293443,0.16,0.11,75.93,72.063,1.143,99.09,-0.513,-0.2864,-0.024,7.069425,0.16,0.13,197.03,254.566,1.372,224.69,148.65,0.169,34.53,-0.647,-0.2422,0.0322,3132.072,18.455,3.830057,0.1,0.14,86.45,73.095,1.172,110.81
138.04,0.446,106.64,-0.32,122.21,-0.07,110.85,-0.185,-0.839,-0.1982,0.0092,508.906,48.246,704.58,9.056,1551.85,54.591,1646.344,4.582,1667.736,38.265,3546.02,9.573,1.713148,0.09,0.1,109.69,93.129,1.161,128.65,151.67,0.704,120.27,-0.325,-0.458,-0.564,-0.2756,-0.0537,501.844,0.377,1452.605,76.85,3155.975,13.937,4.293443,0.16,0.11,75.93,72.063,1.143,99.09,-0.123,-0.3583,-0.1863,7.699264,0.27,0.09,244.8,234.283,1.435,271.5,102.75,0.442,1.76,-0.692,-0.3264,0.0366,3139.321,1.978,3.813492,0.14,0.18,53.2,41.053,1.076,73.59
138.04,0.446,106.64,-0.32,122.21,-0.07,110.85,-0.185,-0.839,-0.1982,0.0092,508.906,48.246,704.58,9.056,1551.85,54.591,1646.344,4.582,1667.736,38.265,3546.02,9.573,1.713148,0.09,0.1,109.69,93.129,1.161,128.65,151.67,0.704,120.27,-0.325,-0.458,-0.564,-0.2756,-0.0537,501.844,0.377,1452.605,76.85,3155.975,13.937,4.293443,0.16,0.11,75.93,72.063,1.143,99.09,-0.392,-0.3392,-0.1496,6.217044,0.24,0.09,383.14,375.437,1.605,409.47,102.75,0.442,1.76,-0.692,-0.3264,0.0366,3139.321,1.978,3.813492,0.14,0.18,53.2,41.053,1.076,73.59
138.04,0.446,106.64,-0.32,122.21,-0.07,110.85,-0.185,-0.839,-0.1982,0.0092,508.906,48.246,704.58,9.056,1551.85,54.591,1646.344,4.582,1667.736,38.265,3546.02,9.573,1.713148,0.09,0.1,109.69,93.129,1.161,128.65,151.67,0.704,120.27,-0.325,-0.458,-0.564,-0.2756,-0.0537,501.844,0.377,1452.605,76.85,3155.975,13.937,4.293443,0.16,0.11,75.93,72.063,1.143,99.09,-0.123,-0.3583,-0.1863,7.699264,0.27,0.09,244.8,234.283,1.435,271.5,41.13,-0.516,41.13,-0.516,-0.2224,0.0427,3155.343,0.04,3.927258,0.09,0.13,79.02,78.133,1.169,104.12
138.04,0.446,106.64,-0.32,122.21,-0.07,110.85,-0.185,-0.839,-0.1982,0.0092,508.906,48.246,704.58,9.056,1551.85,54.591,1646.344,4.582,1667.736,38.265,3546.02,9.573,1.713148,0.09,0.1,109.69,93.129,1.161,128.65,151.67,0.704,120.27,-0.325,-0.458,-0.564,-0.2756,-0.0537,501.844,0.377,1452.605,76.85,3155.975,13.937,4.293443,0.16,0.11,75.93,72.063,1.143,99.09,-0.392,-0.3392,-0.1496,6.217044,0.24,0.09,383.14,375.437,1.605,409.47,41.13,-0.516,41.13,-0.516,-0.2224,0.0427,3155.343,0.04,3.927258,0.09,0.13,79.02,78.133,1.169,104.12
